Timestamp | Device_ID | Usage (Liters/min) | Status
2026-06-04 08:33:18 | FACILITY_WATER_MAIN | 8 | NORMAL
2026-06-04 08:33:18 | ICU_WATER_RESERVE | 24 | NORMAL
2026-06-04 08:33:19 | FACILITY_WATER_MAIN | 22 | NORMAL
2026-06-04 08:33:19 | ICU_WATER_RESERVE | 16 | NORMAL
2026-06-04 08:33:20 | FACILITY_WATER_MAIN | 25 | NORMAL
2026-06-04 08:33:20 | ICU_WATER_RESERVE | 20 | NORMAL
2026-06-04 08:33:21 | FACILITY_WATER_MAIN | 27 | NORMAL
2026-06-04 08:33:21 | ICU_WATER_RESERVE | 32 | NORMAL
2026-06-04 08:33:22 | FACILITY_WATER_MAIN | 37 | HIGH_USAGE
2026-06-04 08:33:22 | ICU_WATER_RESERVE | 44 | HIGH_USAGE
2026-06-04 08:33:23 | FACILITY_WATER_MAIN | 44 | HIGH_USAGE
2026-06-04 08:33:23 | ICU_WATER_RESERVE | 39 | HIGH_USAGE
2026-06-04 08:33:24 | FACILITY_WATER_MAIN | 22 | NORMAL
2026-06-04 08:33:24 | ICU_WATER_RESERVE | 7 | NORMAL
2026-06-04 08:33:25 | FACILITY_WATER_MAIN | 9 | NORMAL
2026-06-04 08:33:25 | ICU_WATER_RESERVE | 32 | NORMAL
2026-06-04 08:33:26 | FACILITY_WATER_MAIN | 33 | NORMAL
2026-06-04 08:33:26 | ICU_WATER_RESERVE | 38 | HIGH_USAGE
2026-06-04 08:33:27 | FACILITY_WATER_MAIN | 25 | NORMAL
2026-06-04 08:33:27 | ICU_WATER_RESERVE | 22 | NORMAL
2026-06-04 08:33:28 | FACILITY_WATER_MAIN | 33 | NORMAL
2026-06-04 08:33:28 | ICU_WATER_RESERVE | 11 | NORMAL
2026-06-04 08:33:29 | FACILITY_WATER_MAIN | 12 | NORMAL
2026-06-04 08:33:29 | ICU_WATER_RESERVE | 9 | NORMAL
2026-06-04 08:33:30 | FACILITY_WATER_MAIN | 13 | NORMAL
2026-06-04 08:33:30 | ICU_WATER_RESERVE | 12 | NORMAL
2026-06-04 08:33:31 | FACILITY_WATER_MAIN | 38 | HIGH_USAGE
2026-06-04 08:33:31 | ICU_WATER_RESERVE | 31 | NORMAL
2026-06-04 08:33:32 | FACILITY_WATER_MAIN | 16 | NORMAL
2026-06-04 08:33:32 | ICU_WATER_RESERVE | 13 | NORMAL
2026-06-04 08:33:33 | FACILITY_WATER_MAIN | 25 | NORMAL
2026-06-04 08:33:33 | ICU_WATER_RESERVE | 38 | HIGH_USAGE
2026-06-04 08:33:34 | FACILITY_WATER_MAIN | 39 | HIGH_USAGE
2026-06-04 08:33:34 | ICU_WATER_RESERVE | 9 | NORMAL
2026-06-04 08:33:35 | FACILITY_WATER_MAIN | 40 | HIGH_USAGE
2026-06-04 08:33:35 | ICU_WATER_RESERVE | 30 | NORMAL
2026-06-04 08:33:36 | FACILITY_WATER_MAIN | 7 | NORMAL
2026-06-04 08:33:36 | ICU_WATER_RESERVE | 36 | HIGH_USAGE
2026-06-04 08:33:37 | FACILITY_WATER_MAIN | 10 | NORMAL
2026-06-04 08:33:37 | ICU_WATER_RESERVE | 28 | NORMAL
2026-06-04 08:33:38 | FACILITY_WATER_MAIN | 26 | NORMAL
2026-06-04 08:33:38 | ICU_WATER_RESERVE | 42 | HIGH_USAGE
2026-06-04 08:33:39 | FACILITY_WATER_MAIN | 20 | NORMAL
2026-06-04 08:33:39 | ICU_WATER_RESERVE | 22 | NORMAL
2026-06-04 08:33:40 | FACILITY_WATER_MAIN | 20 | NORMAL
2026-06-04 08:33:40 | ICU_WATER_RESERVE | 31 | NORMAL
2026-06-04 08:33:41 | FACILITY_WATER_MAIN | 45 | HIGH_USAGE
2026-06-04 08:33:41 | ICU_WATER_RESERVE | 35 | NORMAL
2026-06-04 08:33:42 | FACILITY_WATER_MAIN | 27 | NORMAL
2026-06-04 08:33:42 | ICU_WATER_RESERVE | 39 | HIGH_USAGE
2026-06-04 08:33:43 | FACILITY_WATER_MAIN | 8 | NORMAL
2026-06-04 08:33:43 | ICU_WATER_RESERVE | 45 | HIGH_USAGE
2026-06-04 08:33:44 | FACILITY_WATER_MAIN | 40 | HIGH_USAGE
2026-06-04 08:33:44 | ICU_WATER_RESERVE | 42 | HIGH_USAGE
2026-06-04 08:33:45 | FACILITY_WATER_MAIN | 30 | NORMAL
2026-06-04 08:33:45 | ICU_WATER_RESERVE | 38 | HIGH_USAGE
2026-06-04 08:33:46 | FACILITY_WATER_MAIN | 17 | NORMAL
2026-06-04 08:33:46 | ICU_WATER_RESERVE | 16 | NORMAL
2026-06-04 08:33:47 | FACILITY_WATER_MAIN | 42 | HIGH_USAGE
2026-06-04 08:33:47 | ICU_WATER_RESERVE | 42 | HIGH_USAGE
2026-06-04 08:33:48 | FACILITY_WATER_MAIN | 27 | NORMAL
2026-06-04 08:33:48 | ICU_WATER_RESERVE | 39 | HIGH_USAGE
2026-06-04 08:33:49 | FACILITY_WATER_MAIN | 21 | NORMAL
2026-06-04 08:33:49 | ICU_WATER_RESERVE | 12 | NORMAL
2026-06-04 08:33:50 | FACILITY_WATER_MAIN | 42 | HIGH_USAGE
2026-06-04 08:33:50 | ICU_WATER_RESERVE | 21 | NORMAL
2026-06-04 08:33:51 | FACILITY_WATER_MAIN | 29 | NORMAL
2026-06-04 08:33:51 | ICU_WATER_RESERVE | 40 | HIGH_USAGE
2026-06-04 08:33:52 | FACILITY_WATER_MAIN | 39 | HIGH_USAGE
2026-06-04 08:33:52 | ICU_WATER_RESERVE | 42 | HIGH_USAGE
2026-06-04 08:33:53 | FACILITY_WATER_MAIN | 8 | NORMAL
2026-06-04 08:33:53 | ICU_WATER_RESERVE | 35 | NORMAL
2026-06-04 08:33:54 | FACILITY_WATER_MAIN | 22 | NORMAL
2026-06-04 08:33:54 | ICU_WATER_RESERVE | 31 | NORMAL
2026-06-04 08:33:55 | FACILITY_WATER_MAIN | 24 | NORMAL
2026-06-04 08:33:55 | ICU_WATER_RESERVE | 32 | NORMAL
2026-06-04 08:33:56 | FACILITY_WATER_MAIN | 29 | NORMAL
2026-06-04 08:33:56 | ICU_WATER_RESERVE | 20 | NORMAL
2026-06-04 08:33:57 | FACILITY_WATER_MAIN | 38 | HIGH_USAGE
