Timestamp | Device_ID | Temperature (Celsius) | Status
2026-06-04 08:33:18 | WARD_B_TEMP_01 | 37.0 | NORMAL
2026-06-04 08:33:18 | WARD_B_TEMP_02 | 37.8 | WARNING
2026-06-04 08:33:18 | WARD_B_TEMP_03 | 39.5 | CRITICAL
2026-06-04 08:33:18 | WARD_B_TEMP_04 | 40.1 | CRITICAL
2026-06-04 08:33:18 | WARD_B_TEMP_05 | 35.0 | CRITICAL
2026-06-04 08:33:19 | WARD_B_TEMP_01 | 36.1 | NORMAL
2026-06-04 08:33:19 | WARD_B_TEMP_02 | 39.1 | CRITICAL
2026-06-04 08:33:19 | WARD_B_TEMP_03 | 38.0 | WARNING
2026-06-04 08:33:19 | WARD_B_TEMP_04 | 40.4 | CRITICAL
2026-06-04 08:33:19 | WARD_B_TEMP_05 | 34.6 | CRITICAL
2026-06-04 08:33:20 | WARD_B_TEMP_01 | 38.6 | CRITICAL
2026-06-04 08:33:20 | WARD_B_TEMP_02 | 37.3 | NORMAL
2026-06-04 08:33:20 | WARD_B_TEMP_03 | 39.9 | CRITICAL
2026-06-04 08:33:20 | WARD_B_TEMP_04 | 38.5 | CRITICAL
2026-06-04 08:33:20 | WARD_B_TEMP_05 | 40.0 | CRITICAL
2026-06-04 08:33:21 | WARD_B_TEMP_01 | 35.0 | CRITICAL
2026-06-04 08:33:21 | WARD_B_TEMP_02 | 35.7 | NORMAL
2026-06-04 08:33:21 | WARD_B_TEMP_03 | 38.4 | CRITICAL
2026-06-04 08:33:21 | WARD_B_TEMP_04 | 40.1 | CRITICAL
2026-06-04 08:33:21 | WARD_B_TEMP_05 | 38.8 | CRITICAL
2026-06-04 08:33:22 | WARD_B_TEMP_01 | 38.0 | WARNING
2026-06-04 08:33:22 | WARD_B_TEMP_02 | 36.1 | NORMAL
2026-06-04 08:33:22 | WARD_B_TEMP_03 | 40.3 | CRITICAL
2026-06-04 08:33:22 | WARD_B_TEMP_04 | 36.1 | NORMAL
2026-06-04 08:33:22 | WARD_B_TEMP_05 | 39.1 | CRITICAL
2026-06-04 08:33:23 | WARD_B_TEMP_01 | 38.0 | WARNING
2026-06-04 08:33:23 | WARD_B_TEMP_02 | 35.4 | CRITICAL
2026-06-04 08:33:23 | WARD_B_TEMP_03 | 37.0 | NORMAL
2026-06-04 08:33:23 | WARD_B_TEMP_04 | 35.1 | CRITICAL
2026-06-04 08:33:23 | WARD_B_TEMP_05 | 37.1 | NORMAL
2026-06-04 08:33:24 | WARD_B_TEMP_01 | 39.1 | CRITICAL
2026-06-04 08:33:24 | WARD_B_TEMP_02 | 37.0 | NORMAL
2026-06-04 08:33:24 | WARD_B_TEMP_03 | 37.6 | WARNING
2026-06-04 08:33:24 | WARD_B_TEMP_04 | 38.7 | CRITICAL
2026-06-04 08:33:24 | WARD_B_TEMP_05 | 35.3 | CRITICAL
2026-06-04 08:33:25 | WARD_B_TEMP_01 | 39.2 | CRITICAL
2026-06-04 08:33:25 | WARD_B_TEMP_02 | 40.2 | CRITICAL
2026-06-04 08:33:25 | WARD_B_TEMP_03 | 36.4 | NORMAL
2026-06-04 08:33:25 | WARD_B_TEMP_04 | 40.4 | CRITICAL
2026-06-04 08:33:25 | WARD_B_TEMP_05 | 39.6 | CRITICAL
2026-06-04 08:33:26 | WARD_B_TEMP_01 | 34.6 | CRITICAL
2026-06-04 08:33:26 | WARD_B_TEMP_02 | 37.8 | WARNING
2026-06-04 08:33:26 | WARD_B_TEMP_03 | 35.3 | CRITICAL
2026-06-04 08:33:26 | WARD_B_TEMP_04 | 38.5 | CRITICAL
2026-06-04 08:33:26 | WARD_B_TEMP_05 | 36.4 | NORMAL
2026-06-04 08:33:27 | WARD_B_TEMP_01 | 38.2 | CRITICAL
2026-06-04 08:33:27 | WARD_B_TEMP_02 | 38.1 | CRITICAL
2026-06-04 08:33:27 | WARD_B_TEMP_03 | 35.3 | CRITICAL
2026-06-04 08:33:27 | WARD_B_TEMP_04 | 38.3 | CRITICAL
2026-06-04 08:33:27 | WARD_B_TEMP_05 | 35.4 | CRITICAL
2026-06-04 08:33:28 | WARD_B_TEMP_01 | 37.6 | WARNING
2026-06-04 08:33:28 | WARD_B_TEMP_02 | 39.4 | CRITICAL
2026-06-04 08:33:28 | WARD_B_TEMP_03 | 35.1 | CRITICAL
2026-06-04 08:33:28 | WARD_B_TEMP_04 | 36.2 | NORMAL
